0,1,2,3,4,5,6
5597,0,1954,4,2,1,10680
2020,0,1921,4,2,1,15300
5998,0,1970,5,2,1,27780
5155,0,1992,4,2,1,21720
2677,0,1951,10,3,2,25920
5638,0,1910,4,2,1,18900
3072,1,1940,4,2,1,35172
7434,0,1979,7,3,1,15600
9885,1,1994,5,3,1,1300
4184,0,,4,2,1,11100
20958,0,1860,16,6,2,49620
6208,0,1956,5,3,1,17760
2891,0,1964,7,4,2,25980
7804,0,,7,5,1,14400
3398,0,1907,4,2,1,17040
3000,0,,5,2,1,30108
6507,1,,4,2,1,23640
10000,0,1940,8,3,1,20580
4000,0,1965,11,4,3,38520
8100,0,1968,4,2,1,43320
5868,0,2017,9,3,2,18600
12000,0,1946,10,2,2,16200
3791,1,1916,6,3,1,24600
4731,0,1950,5,2,1,14400
9440,0,,4,2,1,13200
10000,0,1956,4,2,1,20460
7969,0,1960,5,3,1,31920
3817,0,1943,4,2,1,25920
4916,0,1964,5,4,2,2
6473,0,1971,8,3,1,22080
13497,0,2006,4,2,1,70140
5000,0,1953,11,9,3,29760
8834,0,1900,9,3,2,14100
7201,0,1947,4,2,1,41760
5274,1,1949,6,3,1,57600
2420,1,1948,4,2,1,55536
3255,0,1964,6,3,1,21720
2802,0,1949,4,2,1,19980
4176,0,,4,2,1,15240
11506,0,2007,9,5,2,11100
2250,0,1945,9,3,1,18600
39359,0,2012,4,2,1,244980
6163,0,1963,4,2,1,22080
9952,0,1972,4,2,1,36720
3350,0,1949,5,2,1,47220
8722,0,1910,4,2,1,9240
3601,0,1922,8,2,2,36000
3990,0,1968,10,3,2,22800
5186,0,1961,8,4,1,16500
6572,0,1906,4,2,1,15000
2100,0,1925,6,4,1,31860
25970,0,1956,6,3,1,7200
6526,0,,6,4,1,23700
3235,0,1975,5,3,3,35040
6600,0,1936,6,2,1,19920
13729,0,2009,8,4,2,38700
23660,0,1975,4,2,1,25380
53633,0,,11,2,2,33960
4155,0,1906,6,3,1,24000
6372,0,1963,6,4,2,49200
4152,0,1970,9,3,3,47580
4174,0,1900,5,3,1,14400
5669,0,1946,11,3,2,28200
3111,0,1926,4,2,1,22140
5350,0,1991,4,2,1,24120
2209,0,1910,5,2,1,28200
4200,0,2017,4,2,1,23400
