0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool
11122402,,,Commercial and office space,,,,Commercial (1),,,,,,,875 sqft,,
11127701,,,Industrial only,,"2017, New",,Industrial (1),,,,,"6,006 sqft",,"6,006 sqft",,
11134491,,,Commercial and industrial,,"2012, New",,Industrial (1),,,,,"5,000 sqft",,"5,000 sqft",Other,
11139894,,,Commercial and office space,,"To be built, New",,"Commercial (1), Office (1)",,,,,,,"From 7,000 sqft to 14,000 sqft",,
11141655,,,Commercial and office space,,,,Commercial (1),,,,,700 sqft,,700 sqft,,
11145980,,,Commercial only,,1996,,Commercial (1),,,,,"7,000 sqft",,"7,000 sqft",,
11149188,,,Commercial and office space,,1964,,Commercial (1),,,,,,,185 sqft,,
11160700,,,Commercial only,,1910,,Commercial (1),,,,,,,"5,280 sqft",Department store,
11189254,,,Offices only,,Unknown age,,Office (1),,,,,"2,020 sqft",,"2,020 sqft",,
11198290,,,Commercial and residential,,,,Commercial (1),,,,,,,"3,800 sqft",,
11199946,,,Commercial and office space,,,,Office (1),,,,,,,"9,650 sqft",,
11201402,,,Offices only,,1907,,Office (1),,,,,,,"1,988 sqft",,
11202308,,,Commercial and office space,,2012,,Commercial (2),,,,,717 sqft,,"From 717 sqft to 2,443 sqft",,
11213568,,,Commercial and residential,,,,Commercial (1),,,,,,,"2,500 sqft",,
11214972,,,Commercial only,,1910,,Commercial (1),,,,,,,"2,800 sqft",,
11226152,,,Commercial and industrial,,"To be built, New",,Industrial (1),,,,,,,"1,610 sqft",Other,
11242724,,,Offices only,,,,Office (1),,,,,,,"2,200 sqft",,
11260018,,,Industrial and offices,,2003,,Industrial (1),,,,,,,"3,660 sqft",,
11262002,,,Commercial only,,,,Office (1),,,,,,,592 sqft,,
11262827,,,Commercial only,,,,Commercial (1),,,,,,,"10,100 sqft",,
11275162,,,Commercial and office space,,1926,,Commercial (1),,,,,"1,700 sqft",,"1,700 sqft",,
11279475,,,Commercial and office space,,1971,,Commercial (1),,,,,,,"3,200 sqft",,
11279760,,,Commercial and office space,,,,Office (1),,,,,"34,337 sqft",,155 sqft,,
11280230,,,Commercial and office space,,,,Office (1),,,,,,,157 sqft,,
11286991,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,000 sqft",,
11306106,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,312 sqft",,
11308169,,,Commercial only,,"Under construction, New",,Commercial (1),,,,,,,"2,000 sqft",Restaurant,
11314316,,,Commercial and office space,,1952,,Office (1),,,,,,,448 sqft,,
11337092,"60,242 sqft",,Industrial only,,"To be built, New",,Industrial (5),,,,,"10,377 sqft",,"From 2,956 sqft to 14,877 sqft",,
11354415,,,Commercial and office space,,,,Commercial (1),,,,,660 sqft,,660 sqft,,
11374357,,,Commercial and industrial,,,,Industrial (1),,,,,,,"7,345 sqft",Cabinet making,
11391233,,,Commercial and industrial,,,,Office (1),,,,,,,"4,000 sqft",,
11391451,,,Offices only,,2013,,Office (1),,,,,,,"1,003 sqft",,
11398660,Residential,,,,,,,,,,,,,,,
11413123,,,Commercial and office space,,1963,,Commercial (1),,,,,,,"1,200 sqft",,
11414165,,,Commercial and office space,,,,Office (1),,,,,,,"10,005 sqft",,
11415538,,,Industrial and offices,,2010,,Industrial (1),,,,,"4,392 sqft",,"4,392 sqft",,
11421599,"12,543 sqft",,Commercial and office space,,1952,,Commercial (1),,,,,"2,979 sqft",,"1,863 sqft",,
11426021,"4,205 sqft",,Commercial and residential,,1865,,"Residential (1), Commercial (1)",,,,,,,864 sqft,,
11437479,,,Offices only,,,,Office (1),,,,,,,"1,600 sqft",,
11437767,,,Commercial only,,,,Commercial (1),,,,,,,"2,500 sqft",,
11439325,"18,457 sqft",,Commercial and office space,,2002,,Commercial (1),,,,,,,"24,000 sqft",,
11447500,,,Commercial and office space,,,,Commercial (1),,,,,,,"3,850 sqft",,
11449481,,,Offices only,,,,Office (1),,,,,,,"2,198 sqft",,
11450498,,,Commercial and office space,,1997,,Commercial (1),,,,,,,"5,641 sqft",,
11455518,"2,850 sqft",,Commercial only,,,,Commercial (1),,,,,,,"2,340 sqft",,
11458119,,,Commercial and office space,,2010,,Commercial (1),,,,,"5,500 sqft",,"3,500 sqft",,
11460211,,,Commercial and industrial,,1970,,Commercial (1),,,,,"4,778 sqft",,"4,778 sqft",,
11481000,,,Industrial and offices,,"2014, New",,Industrial (1),,,,,,,"5,689 sqft",,
11495879,,,Offices only,,1953,,Office (1),,,,,,,520 sqft,Other,
11499806,,,Commercial and office space,,,,Commercial (1),,,,,,,"7,500 sqft",,
11511021,"53,537 sqft",,Commercial and residential,,1986,,Commercial (1),,,,,"15,262 sqft",,1 sqft,,
11512352,,,Commercial only,,Unknown age,,Commercial (1),,,,,600 sqft,,600 sqft,,
11516077,,,Commercial only,,1850,,Commercial (1),,,,,,,"1,232 sqft",,
11553985,Basement 6 feet or +,,,,,,,,,,,,,,,
11555808,"16,152 sqft",,Offices only,,Unknown age,,Office (1),,,,,"212,282 sqft",,863 sqft,Offices,
11568132,,,Commercial and industrial,,2016,,Commercial (1),,,,,"3,000 sqft",,"3,000 sqft",Other,
11568860,,,Offices only,,Unknown age,,Office (1),,,,,,,"4,945 sqft",,
11572984,,,Offices only,,Unknown age,,Office (1),,,,,,,"1,400 sqft",,
11579490,,,Industrial only,,,,Industrial (1),,,,,,,"51,898 sqft",,
11595081,,,Industrial only,,2010,,Commercial (1),,,,,,,"2,439 sqft",,
11601880,,,Commercial and office space,,,,Commercial (1),,,,,800 sqft,,800 sqft,,
11605079,,,Commercial only,,"To be built, New",,Commercial (1),,,,,"7,542 sqft",,"7,542 sqft",,
11632701,"5,821 sqft",,Offices only,,,,Office (1),,,,,"2,200 sqft",,"2,200 sqft",,
11638687,,,Commercial and office space,,,,Commercial (1),,,,,,,"5,192 sqft",,
11638894,,,Commercial and office space,,1965,,Office (1),,,,,,,"2,654 sqft",,
11639186,,,Commercial and office space,,,,,,,,,469 sqft,,,,
11641649,,,Offices only,,,,Office (1),,,,,,,"1,250 sqft",,
11643757,,,Commercial and industrial,,2006,,Commercial (1),,,,,"9,000 sqft",,"9,000 sqft",,
11646987,,,Commercial and office space,,,,Commercial (2),,,,,,,"From 650 sqft to 1,750 sqft",Shopping centre,
11649157,,,Commercial only,,,,Commercial (1),,,,,,,"3,031 sqft",,
11655124,,,Commercial only,,,,Commercial (1),,,,,,,472 sqft,,
11657078,,,Commercial and office space,,,,Office (1),,,,,,,280 sqft,,
11684264,,,Commercial only,,,,Commercial (1),,,,,,,"1,400 sqft",,
11684785,,,Commercial and office space,,,,Office (1),,,,,,,"1,000 sqft",,
11687252,,,Offices only,,,,Office (1),,,,,,,108 sqft,Other,
11687947,,,Commercial and office space,,,,Commercial (1),,,,,,,"5,084 sqft",,
11694187,,,Offices only,,2015,,Office (1),,,,,,,780 sqft,,
