0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool,Type of operation,Residential unit,Intergenerational
10173350,"5,000 sqft", ,Residential only,Detached,1947, ,Residential (2),2 x 4 ½,"4 Rooms, 2 Bedrooms, 1 Bath/powder room","$12,600", ,644 sqft,Driveway (2), , , , , , 
10173361,"8,700 sqft", ,Residential only,Detached,Unknown age, ,Residential (2),2 x 5 ½,"5 Rooms, 3 Bedrooms, 1 Bath/powder room","$11,400", ,"1,457 sqft",Driveway (6), , , , , , 
10174485,"2,250 sqft", ,Residential only,Detached,1956, ,Residential (2),2 x 4 ½,"4 Rooms, 2 Bedrooms, 1 Bath/powder room","$12,840", , ,Driveway (2), , , , , , 
10174698,"5,737 sqft",Residential, , , , , , , , , , , , , , , , , 
10175863,"6,000 sqft",Residential, , , , , , , , , , , , , , , , , 
10176533, , , , , , , , , , , , , , ,"Fast food, Restaurant, Bar", , , , 
10176802,"32,529 sqft",Residential, , , , , , , , , , , , , , , , , 
10177639,"6,706 sqft",Residential, , , , , , , , , , , , , , , , , 
10178644,"67,411 sqft",Residential, , , , , , , , , , , , , , , , , 
10180168,"100,000 sqft",Residential, , , , , , , , , , , , , , , , , 
10180208,"66,979 sqft",Resort, , , , , , , , , , , , , , , , , 
10180757,"16,594 sqft",Residential, , , , , , , , , , , , , , , , , 
10181037,"1,875 sqft", ,Residential only,Attached,1934, ,Residential (2),2 x 6 ½,"6 Rooms, 2 Bedrooms, 1 Bath/powder room","$10,200",Basement 6 feet or +, , , , , , , , 
10182698,"92,609 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10184913,"56,231 sqft",Residential, , , , , , , , , , , , , , , , , 
10185254,"8,412 sqft", ,Residential only,Detached,1971, ,Residential (6),"1 x 2 ½,  5 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$42,132", , , , , , , , , 
10185441,"4,138,200 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10186073,"122,120 sqft",Residential, , , , , , , , , , , , , , , , , 
10186140,"5,252 sqft", ,Residential only,Detached,2000, ,Residential (4),"2 x 3 ½,  2 x 5 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$32,340", , ,Driveway (4), , , , , , 
10187056,"8,669,447 sqft", ,Commercial only, ,1970, ,Commercial (1), , , , , , ,768 sqft,Maple grove, , , , 
10187964,"17,573 sqft",Residential, , , , , , , , , , , , , , , , , 
10189927,"32,809 sqft",Residential, , , , , , , , , , , , , , , , , 
10189946,"1,949 sqft", ,Residential and commercial,Attached,1900, ,"Residential (1), Commercial (1)", ,"10 Rooms, 2 Bedrooms, 2 Bath/powder rooms","$55,044",Basement 6 feet or +, , ,"1,280 sqft", , , ,1 x 10 ½, 
10191002,"61,130 sqft",Residential, , , , , , , , , , , , , , , , , 
10191419,"16,400 sqft",Residential, , , , , , , , , , , , , , , , , 
10191664,"45,061 sqft",Residential, , , , , , , , , , , , , , , , , 
10192632,"3,374 sqft", ,Residential only,Detached,1940, ,Residential (2),2 x 4 ½,"4 Rooms, 2 Bedrooms, 1 Bath/powder room","$12,000",Basement 6 feet or +, ,Driveway (3), , , , , , 
10194197,"65,114 sqft",Residential, , , , , , , , , , , , , , , , , 
10194537,"6,569 sqft",Residential, , , , , , , , , , , , , , , , , 
10196342,"173,506 sqft",Resort, , , , , , , , , , , , , , , , , 
10197269,"9,886 sqft",Residential, , , , , , , , , , , , , , , , , 
10199506,"32,082 sqft",Residential, , , , , , , , , , , , , , , , , 
10201131,"20,683 sqft", ,Commercial and residential, ,1992, ,"Residential (3), Commercial (2)", , , , , , ,"From 1,483 sqft to 3,268 sqft",Convenience store, , , , 
10201194,"5,300 sqft", ,Residential only,Detached,1956, ,Residential (3),"2 x 3 ½,  1 x 7 ½","7 Rooms, 4 Bedrooms, 1 Bath/powder room","$14,880", , ,Garage (1), , , , , , 
10202014,"25,093 sqft",Residential, , , , , , , , , , , , , , , , , 
10204557,"2,688 sqft", ,Residential only,Attached,1963, ,Residential (3),"1 x 3 ½,  2 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$22,020",Basement 6 feet or +,"1,120 sqft","Driveway (1), Garage (2)", , , , , , 
10205981,"29,604 sqft",Residential, , , , , , , , , , , , , , , , , 
10206925,"39,433 sqft",Residential, , , , , , , , , , , , , , , , , 
10208228,"65,972 sqft",Residential, , , , , , , , , , , , , , , , , 
10208273,"17,000 sqft", ,Commercial and residential, ,Unknown age, ,Commercial (1), , , , ,"1,200 sqft", ,"1,200 sqft",Antique, , , , 
10209208,"59,601 sqft",Residential, , , , , , , , , , , , , , , , , 
10209871,"124,186 sqft", ,Commercial and industrial, ,2007, ,Industrial (1), , , , ,"8,940 sqft", ,"6,706 sqft", , , , , 
10209939,"46,012 sqft",Residential, , , , , , , , , , , , , , , , , 
10211671,"73,521 sqft",Residential, , , , , , , , , , , , , , , , , 
10214006,"30,074 sqft", ,Commercial only, ,1975, ,Commercial (1), , , , , , ,"2,411 sqft",Motel, , , , 
10216047,"4,850 sqft", ,Residential only,Detached,1959, ,Residential (3),"1 x 3 ½,  2 x 4 ½","4 Rooms, 2 Bedrooms, 1 Bath/powder room","$24,600",Basement 6 feet or +, ,"Driveway (2), Garage (1)", , , , , , 
10218779,"6,249 sqft",Residential, , , , , , , , , , , , , , , , , 
10223734,"4,660,920 sqft", , , ,2005,Wood stove, , , , ,"Access to waterfront, Basement 6 feet or +", ,"Carport (2), Driveway (10), Garage (2)", , , , , , 
10224227,"4,049 sqft", ,Residential only,Detached,1919, ,Residential (2),"1 x 7 ½,  1 x 8 ½","7 Rooms, 2 Bedrooms, 2 Bath/powder rooms","$13,860", , ,Driveway (2), , , , , , 
10224364,"332,384 sqft","Commercial, Residential", , , , , , , , , , , , , , , , , 
10226056,"363,344 sqft",Residential, , , , , , , , , , , , , , , , , 
10226459,"178,107 sqft",Residential, , , , , , , , , , , , , , , , , 
10226695,"3,005 sqft", ,Commercial and residential, ,1948, ,"Residential (1), Commercial (1)", , , , ,"1,060 sqft", ,229 sqft, , , , , 
10227024,"7,093 sqft",Residential, , , , , , , , , , , , , , , , , 
10227110, , , , , , , , , , , , , , ,Tanning salon, , , , 
10230791,"43,238 sqft",Residential, , , , , , , , , , , , , , , , , 
10233047,"169,884 sqft",Residential, , , , , , , , , , , , , , , , , 
10238485,"91,816 sqft",Residential, , , , , , , , , , , , , , , , , 
10238778,"900,300 sqft","Commercial, Residential", , , , , , , , , , , , , , , , , 
10240242,"114,580 sqft",Residential, , , , , , , , , , , , , , , , , 
10240555,"10,022 sqft", ,Residential only,Detached,1977, ,Residential (3),"2 x 3 ½,  1 x 5 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$22,500",Basement 6 feet or +, ,Driveway (6), , , , , , 
10242567,"2,942 sqft", ,Residential only,Attached,1968, ,Residential (3),"1 x 2 ½,  1 x 5 ½,  1 x 6 ½","6 Rooms, 3 Bedrooms, 1 Bath/powder room","$32,100",Basement 6 feet or +, ,"Driveway (2), Garage (2)", , , , , , 
10242850, , , , , , , , , , , , , , ,Other, , , , 
10243316,"7,700 sqft",Residential, , , , , , , , , , , , , , , , , 
10243726,"5,075 sqft", ,Residential and commercial,Detached,Unknown age, ,Residential (6),"4 x 4 ½,  2 x Other", ,"$40,500",Basement 6 feet or +, ,Driveway (6), , , , , , 
10243730,"33,056 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10245760,"10,254 sqft", , , ,1971, ,"Residential (1), Commercial (1)", , , , , , ,"1,550 sqft",Florist, , , , 
10245779, , , , , , , , , , , , , , ,Restaurant, , , , 
10245930,"91,601 sqft",Residential, , , , , , , , , , , , , , , , , 
10246239, , ,Residential only,Attached,1929, ,Residential (2),"1 x 6 ½,  1 x 8 ½","8 Rooms, 6 Bedrooms, 2 Bath/powder rooms","$54,240",Basement 6 feet or +,"2,616 sqft","Driveway (5), Garage (1)", , , , , , 
10249293,"31,086 sqft",Residential, , , , , , , , , , , , , , , , , 
10249645,"10,066 sqft",Residential, , , , , , , , , , , , , , , , , 
10251588,"117,290 sqft",Residential, , , , , , , , , , , , , , , , , 
10252729,"5,914 sqft",Residential, , , , , , , , , , , , , , , , , 
10254176,"31,750 sqft",Agricultural, , , , , , , , , , , , , , , , , 
10260838,"1,764 sqft", ,Residential only,Detached,1925, ,Residential (3),"2 x 3 ½,  1 x 4 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$23,640", , , , , , , , , 
10261939, , ,Commercial only, ,Unknown age, ,Commercial (1), , , , ,"13,400 sqft", ,"13,000 sqft", , , , , 
10262390,"58,782 sqft",Resort, , , , , , , , , , , , , , , , , 
10264403,"8,981 sqft",Residential, , , , , , , , , , , , , , , , , 
10265776,"3,100 sqft", ,Residential only,Detached,1953, ,Residential (3),"1 x 4 ½,  2 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$28,380",Basement 6 feet or +,"1,080 sqft",Driveway (1), , , , , , 
10266370, , ,Residential and commercial,Detached,Unknown age, ,"Residential (7), Commercial (2)","5 x 3 ½,  1 x 4 ½,  1 x 5 ½", ,"$67,260", , , , , , , , , 
10267063,"1,941 sqft", ,Residential only,Attached,1958, ,Residential (2),"1 x 4 ½,  1 x 7 ½","7 Rooms, 3 Bedrooms, 2 Bath/powder rooms","$12,360",Basement 6 feet or +, ,Carport (1), , , , , , 
10267572,"8,712,301 sqft",Resort, , , , , , , , , , , , , , , , , 
10267815,"4,000 sqft", ,Residential only,Semi-detached,1973,Wood fireplace,Residential (3),"1 x 4 ½,  2 x 5 ½","5 Rooms, 3 Bedrooms, 2 Bath/powder rooms","$31,800",Basement 6 feet or +, ,"Driveway (1), Garage (1)", , ,Above-ground, , , 
10271230,"6,021 sqft", ,Residential only,Semi-detached,2004,Gas fireplace,Residential (3),3 x 4 ½,"4 Rooms, 2 Bedrooms, 1 Bath/powder room","$34,140", , ,Driveway (6), , , , , , 
10272555,"5,346 sqft", ,Residential only,Detached,1865, ,Residential (4),"2 x 3 ½,  2 x 6 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$28,320", , , , , , , , , 
10272665,"101,923 sqft",Residential, , , , , , , , , , , , , , , , , 
10273404,"9,810 sqft", ,Commercial only, ,1960, ,Commercial (1), , , , , , ,"5,514 sqft", , , , , 
10274858,"7,590,454 sqft", , , ,1980,Wood stove, , , , ,Basement 6 feet or +, ,"Driveway (15), Garage (1)", , , ,Bois, , 
10278641,"87,112 sqft",Residential, , , , , , , , , , , , , , , , , 
10278827, ,Agricultural, , , , , , , , , , , , , , , , , 
10282440,"2,465,929 sqft",Other, , , , , , , , , , , , , , , , , 
10282701,"4,340 sqft", ,Residential and commercial,Attached,1979, ,"Residential (1), Commercial (2)", ,"5 Rooms, 3 Bedrooms, 1 Bath/powder room","$55,920", ,"3,000 sqft", ,From 1 sqft to 2 sqft, , , ,1 x 5 ½, 
10283052,"15,383 sqft",Residential, , , , , , , , , , , , , , , , , 
10285999,"18,845 sqft",Residential, , , , , , , , , , , , , , , , , 
10286007,"3,735 sqft", ,Residential only,Semi-detached,1963,"Fireplace - Other, Wood fireplace",Residential (3),"1 x 1 ½,  2 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$30,900",Basement 6 feet or +,"1,256 sqft","Driveway (2), Garage (2)", , , , , , 
10286722,"86,464 sqft",Residential, , , , , , , , , , , , , , , , , 
